Account,Posting Date,Description,Amount,Type,Check or Slip #,Rule Number,Short Name,Category1,Category2
Checking,12/27/2021,ALLSTATE P&C INS INS PYMT    TEL ID: ,-41.86,ACH_DEBIT,,1,Allstate,Insurance,Monthly Expenses
Checking,12/23/2021,APPLE.COM/BILL 866-712-7753 CA               12/22,-14.99,DEBIT_CARD,,3,Apple,Subscriptions,Regular Expenses
Checking,12/21/2021,ALLSTATE INS CO  INS PREM    WEB ID: ,-16.55,ACH_DEBIT,,1,Allstate,Insurance,Monthly Expenses
Checking,12/20/2021,APPLE.COM/BILL 866-712-7753 CA               12/18,-2.99,DEBIT_CARD,,3,Apple,Subscriptions,Regular Expenses
Checking,12/17/2021,ALLSTATE INS CO  INS PREM                   PPD ID: ,-161.91,ACH_DEBIT,,1,Allstate,Insurance,Monthly Expenses
Checking,12/16/2021,STARBUCKS 58599 NEWARK DE                    12/15,-2.95,DEBIT_CARD,,10,Starbucks,Restaurants,Non-recurring Expenses
Checking,12/15/2021,ROYAL FARMS 197 NEWARK DE                    12/15,-49.08,DEBIT_CARD,,12,Royal Farms,Gas,Regular Expenses
Checking,12/15/2021,APPLE.COM/BILL 866-712-7753 CA               12/14,-9.99,DEBIT_CARD,,3,Apple,Subscriptions,Regular Expenses
Checking,12/13/2021,STARBUCKS 800-782-728 800-782-7282 WA        12/10,-25,DEBIT_CARD,,10,Starbucks,Restaurants,Non-recurring Expenses
Checking,12/07/2021,APPLE.COM/BILL 866-712-7753 CA               12/02,-9.99,DEBIT_CARD,,3,Apple,Subscriptions,Regular Expenses
Checking,12/06/2021,ATT              Payment                    PPD ID: ,-115.78,ACH_DEBIT,,4,AT&T Phone Bill,Utilities,Monthly Expenses
Checking,12/01/2021,NETFLIX.COM NETFLIX.COM CA                   12/01,-13.99,DEBIT_CARD,,11,Netflix,Subscriptions,Regular Expenses
Checking,11/30/2021,APPLE.COM/BILL 866-712-7753 CA               11/30,-4.99,DEBIT_CARD,,3,Apple,Subscriptions,Regular Expenses
Checking,11/23/2021,APPLE.COM/BILL 866-712-7753 CA               11/22,-14.99,DEBIT_CARD,,3,Apple,Subscriptions,Regular Expenses
Checking,11/22/2021,APPLE.COM/BILL 866-712-7753 CA               11/22,-4.99,DEBIT_CARD,,3,Apple,Subscriptions,Regular Expenses
Checking,11/22/2021,ALLSTATE INS CO  INS PREM    WEB ID: ,-17.66,ACH_DEBIT,,1,Allstate,Insurance,Monthly Expenses
Checking,11/22/2021,APPLE.COM/BILL 866-712-7753 CA               11/20,-9.99,DEBIT_CARD,,3,Apple,Subscriptions,Regular Expenses
Checking,11/22/2021,STARBUCKS 800-782-728 800-782-7282 WA        11/19,-25,DEBIT_CARD,,10,Starbucks,Restaurants,Non-recurring Expenses
Checking,11/19/2021,GULF 2513 WILMINGTON DE                      11/19,-23.57,DEBIT_CARD,,8,Gulf,Gas,Regular Expenses
Checking,11/19/2021,GULF 2513 WILMINGTON DE                      11/19,-49.35,DEBIT_CARD,,8,Gulf,Gas,Regular Expenses
Checking,11/19/2021,APPLE.COM/BILL 866-712-7753 CA               11/19,-2.99,DEBIT_CARD,,3,Apple,Subscriptions,Regular Expenses
Checking,11/19/2021,APPLE.COM/BILL 866-712-7753 CA               11/19,-49.99,DEBIT_CARD,,3,Apple,Subscriptions,Regular Expenses
Checking,11/17/2021,ALLSTATE INS CO  INS PREM                   PPD ID: ,-161.91,ACH_DEBIT,,1,Allstate,Insurance,Monthly Expenses
Checking,11/15/2021,APPLE.COM/BILL 866-712-7753 CA               11/14,-9.99,DEBIT_CARD,,3,Apple,Subscriptions,Regular Expenses
Checking,11/09/2021,CONCORD PET FOODS & SU WILMINGTON DE         11/09,-54.98,DEBIT_CARD,,14,Concord Pet Store,Ernie,Regular Expenses
